,year,protest_time
2232,1992,1
2233,1992,1
2234,1992,1
2235,1992,1
2236,1992,3
2237,1992,1
2238,1992,1
2239,1993,1
2240,1993,1
2241,1994,2
2242,1994,82
2243,1994,1
2244,1994,1
2245,1994,1
2246,1994,1
2247,1995,1
2248,1995,1
2249,1995,3
2250,1995,3
2251,1995,1
2252,1995,47
2253,1995,2
2254,1995,6
2255,1995,8
2256,1995,1
2257,1995,1
2258,1995,8
2259,1995,3
2260,1995,11
2261,1996,17
2262,1996,1
2263,1996,1
2264,1996,1
2265,1996,35
2266,1996,1
2267,1996,1
2268,1996,1
2269,1996,1
2270,1996,18
2271,1996,1
2272,1996,6
2273,1996,2
2274,1997,9
2275,1997,1
2276,1997,25
2277,1997,1
2278,1998,1
2279,1998,8
2280,1998,1
2281,1998,35
2282,1998,1
2283,1998,1
2284,1998,1
2285,1999,1
2286,1999,1
2287,1999,1
2288,2000,3
2289,2000,1
2290,2000,7
2291,2000,1
2292,2000,17
2293,2001,1
2294,2002,2
2295,2002,1
2296,2003,8
2297,2003,27
2298,2004,1
2299,2004,1
2300,2004,4
2301,2004,1
2302,2005,16
2303,2005,16
2304,2005,2
2305,2006,1
2306,2007,4
2307,2007,1
2308,2007,4
2309,2007,1
2310,2007,1
2311,2007,13
2312,2008,1
2313,2008,1
2314,2008,1
2315,2009,25
2316,2009,1
2317,2010,17
2318,2010,4
2319,2011,1
2320,2011,67
2321,2011,1
2322,2011,1
2323,2011,101
2324,2012,1
2325,2012,1
2326,2012,2
2327,2012,3
2328,2012,4
2329,2013,1
2330,2014,1
2331,2014,15
2332,2014,1
2333,2015,2
2334,2015,1
2335,2015,1
2336,2015,1
2337,2015,1
2338,2015,1
2339,2015,4
2340,2016,127
2341,2016,5
2342,2016,1
2343,2017,20
2344,2017,51
2345,2018,1
2346,2018,1
2347,2018,1
2348,2018,2
2349,2019,1
2350,2019,1
2351,2019,1
2352,2019,1
2353,2019,1
2354,2019,1
2355,2019,1
2356,2019,1
2357,2019,1
2358,2019,1
2359,2019,1
2360,2019,1
2361,2019,3
2362,2019,1
2363,2020,0
5956,1992,1
5957,1992,1
5958,1993,0
5959,1994,1
5960,1995,1
5961,1995,1
5962,1996,2
5963,1996,1
5964,1996,1
5965,1997,1
5966,1998,1
5967,1999,0
5968,2000,0
5969,2001,0
5970,2002,0
5971,2003,0
5972,2004,0
5973,2005,0
5974,2006,0
5975,2007,0
5976,2008,0
5977,2009,1
5978,2010,0
5979,2011,0
5980,2012,0
5981,2013,2
5982,2013,1
5983,2013,1
5984,2014,4
5985,2014,1
5986,2014,1
5987,2014,1
5988,2014,1
5989,2015,1
5990,2016,0
5991,2017,0
5992,2018,1
5993,2018,1
5994,2018,1
5995,2018,1
5996,2018,1
5997,2018,1
5998,2018,2
5999,2018,1
6000,2018,15
6001,2018,1
6002,2018,1
6003,2019,1
6004,2019,15
6005,2019,1
6006,2019,1
6007,2019,1
6008,2019,1
6009,2019,1
6010,2019,6
6011,2020,1
11654,1990,0
11655,1991,1
11656,1991,1
11657,1992,0
11658,1993,0
11659,1994,0
11660,1995,3
11661,1995,1
11662,1996,0
11663,1997,1
11664,1998,0
11665,1999,0
11666,2000,1
11667,2000,1
11668,2001,0
11669,2002,1
11670,2003,1
11671,2004,1
11672,2004,1
11673,2004,1
11674,2004,1
11675,2004,1
11676,2004,1
11677,2005,1
11678,2005,1
11679,2006,9
11680,2006,1
11681,2006,1
11682,2006,1
11683,2006,1
11684,2007,1
11685,2007,1
11686,2008,0
11687,2009,1
11688,2009,1
11689,2009,1
11690,2009,1
11691,2009,1
11692,2010,0
11693,2011,1
11694,2011,2
11695,2011,1
11696,2012,0
11697,2013,0
11698,2014,0
11699,2015,0
11700,2016,0
11701,2017,0
11702,2018,0
11703,2019,0
11704,2020,0
1996,1990,1
1997,1990,8
1998,1990,1
1999,1990,3
2000,1990,1
2001,1991,3
2002,1991,2
2003,1991,2
2004,1991,1
2005,1991,13
2006,1991,1
2007,1991,1
2008,1992,1
2009,1992,1
2010,1992,1
2011,1992,1
2012,1993,8
2013,1993,1
2014,1993,1
2015,1994,1
2016,1994,1
2017,1995,1
2018,1995,33
2019,1995,1
2020,1995,1
2021,1995,1
2022,1995,1
2023,1996,1
2024,1996,1
2025,1996,1
2026,1996,1
2027,1997,59
2028,1997,4
2029,1997,1
2030,1997,2
2031,1997,2
2032,1997,1
2033,1997,9
2034,1997,1
2035,1998,1
2036,1998,1
2037,1998,3
2038,1998,1
2039,1998,1
2040,1998,1
2041,1998,1
2042,1998,1
2043,1998,1
2044,1998,2
2045,1998,1
2046,1999,1
2047,1999,1
2048,1999,1
2049,1999,8
2050,1999,1
2051,1999,1
2052,1999,1
2053,1999,1
2054,1999,1
2055,1999,1
2056,2000,1
2057,2000,1
2058,2000,1
2059,2000,4
2060,2000,1
2061,2000,3
2062,2000,10
2063,2000,1
2064,2000,1
2065,2001,2
2066,2001,3
2067,2001,1
2068,2001,1
2069,2001,1
2070,2001,1
2071,2001,5
2072,2001,1
2073,2002,1
2074,2002,1
2075,2002,1
2076,2002,1
2077,2003,1
2078,2003,1
2079,2003,1
2080,2003,3
2081,2003,3
2082,2003,1
2083,2003,1
2084,2003,1
2085,2004,1
2086,2004,2
2087,2004,4
2088,2005,1
2089,2005,1
2090,2005,1
